@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
173,1.82,0.01,115,514.2,one,0.9,9.799995,lake,0.4,46.238861,-89.46106,0.17,0.142,one,0.885,10,2.57,low
53.7,2.609,0.031,55,157,one,0.971,8.099998,swamp,0.034,43.244415,-71.395813,0.066,0.03,one,1.046,15,4.236,low
65,0.99,0.003,59,401.4,zero,0.43,7.399998,lake,0.052,45.616364,-92.147217,0.01,0,zero,0.83,5,1.22,low
45.3,1.83,0.006,15,530.1,one,0.256,22.599991,lake,0.315,41.349976,-75.170776,0.015,0.043,zero,0.821,20,4.843,low
181,0.96,0.062,40,944.9,many,0.43,18.5,lake,0.421,35.112488,-83.020813,0.115,0.34,one,1.178,30,1.21,low
40,1.11,0.007,39,346.3,zero,0.63,9.599998,lake,0.12,45.239166,-91.380554,0.01,0.04,zero,0.859,5,1.99,low
177,2.18,0.007,110,551.7,one,0.36,14.099998,lake,0.059,47.853607,-90.793579,0.05,0.279,zero,0.792,10,3.07,low
17,1.1,0.005,17,340.5,zero,0.37,14.599998,lake,0.684,46.570831,-91.312439,0.01,0.092,zero,0.865,10,3.22,low
28,1.23,0.012,30,318.5,zero,0.23,5.5,lake,0.069,46.218597,-91.791626,0.05,0.041,zero,0.864,10,1.51,low
47,1.67,0.007,30,515.7,one,0.49,33.899994,lake,1.148,46.208313,-89.659119,0.01,0.006,one,0.885,10,4.82,low
78.6,1.917,0.011,45,530.4,many,0.344,1019,lake,5.674,44.083313,-74.758301,0.085,0.145,one,0.915,25,4.477,low
47,1.54,0.017,37,400.8,zero,1.69,16.5,lake,0.98,45.685272,-91.614685,0.15,0.26,zero,0.865,5,3.64,low
63.4,1.18,0.01,30,216.4,zero,0.118,4.5,pond,0.019,45.312469,-69.258301,0.027,0.077,one,0.986,20,2.478,low
24,1.19,0.021,30,512.4,zero,0.92,14.599998,lake,0.596,45.345825,-89.274963,0.11,0.078,zero,0.886,10,2.82,low
271.5,3.387,0.017,65,508.1,zero,0.619,4.5,pond,0.071,44.665253,-71.722717,0.043,0.023,one,1.539,20,4.4,low
90.3,2.252,0.012,30,533.4,zero,0.399,9.5,pond,0.322,43.794434,-74.145813,0.039,0.001,one,0.914,20,5.131,low
16,1.74,0.035,26,334.1,zero,0.74,4.199997,lake,0.09,45.283875,-91.482483,0.1,0,zero,0.856,5,2.84,low
293,2.492,0.02,40,534.3,one,0.469,30.199997,lake,0.897,44.00415,-74.833313,0.099,0.301,one,0.912,25,5.346,low
45,2.11,0.018,50,446.2,zero,0.62,7.099998,lake,0.471,45.240814,-90.536072,0,0.032,zero,0.882,10,3.66,low
109.1,2.095,0.015,80,429.8,zero,0.371,6,pond,0.084,41.313599,-75.016052,0.015,0.054,one,0.93,20,5.855,low
96.3,2.833,0.112,90,68.9,one,0.467,18.299988,pond,0.153,44.483307,-68.963867,0.048,0.022,one,0.823,20,2.192,low
27.1,1.137,0.006,10,395,one,0.671,31.399994,pond,1.515,42.895813,-72.154114,0.021,0.038,zero,1.024,25,5.608,low
90.8,1.639,0.008,15,797.4,one,0.145,4.199997,pond,0.131,44.920807,-70.52594,0.021,0.019,one,1.004,25,4.381,low
167.6,2.768,0.027,40,487.1,few,0.374,36.699982,lake,0.307,43.645813,-75.058289,0.052,0.408,one,0.888,30,5.694,low
21,2.055,0.067,25,16.2,zero,0.293,15.5,lake,0.309,29.178329,-81.868286,0.029,0.05,zero,1.204,5,5.85,low
77.2,2.277,0.026,55,95.1,one,0.585,53.5,pond,1.142,43.25415,-71.516663,0.02,0.012,zero,1.081,15,4.741,low
122.4,9.37,0.121,100,15.24,few,2.002,18.699997,lake,0.182,41.554138,-71.479126,0.447,1.497,one,0.955,20,21.211,low
16,0.84,0.004,24,431,zero,0.63,6.299999,lake,0.088,46.199707,-91.141663,0.04,0.022,zero,0.88,10,0.77,low
26,1.08,0.019,43,374.9,zero,1.11,19.799988,lake,0.808,45.761932,-91.744995,0.19,0.076,zero,0.862,5,1.6,low
107,1.32,0.005,52,460.3,zero,0.32,27.599991,lake,0.115,47.94165,-92.099976,0,0.018,one,0.79,5,2.61,low
17,0.98,0.012,4,431.3,zero,0.84,7.899998,lake,0.356,47.620819,-92.824951,0.04,0.058,zero,0.797,5,3.92,low
13,1.15,0.022,27,289.3,zero,0.5,10.599998,lake,0.256,45.964996,-92.343018,0,0,zero,0.828,5,1.6,low
30,2.805,0.005,105,14.3,zero,0.374,45.5,lake,0.971,29.232498,-81.854675,0.019,0.062,zero,1.204,5,1.99,low
77,1.5,0.017,66,588.3,zero,0.169,11.799995,lake,0.082,47.913879,-90.943604,0.1,0.544,one,0.791,10,1.62,low
164,1.58,0.01,65,435.6,one,0.5,16.199997,lake,0.293,47.963867,-92.012451,0.01,0.062,one,0.789,5,2.94,low
30.8,1.104,0.012,10,80.8,zero,0.312,9.199997,lake,0.256,45.016663,-67.695801,0.018,0,one,1.331,25,3.236,low
41,1.63,0.044,32,458.1,zero,0.243,11.899994,lake,0.558,47.896637,-92.14801,0.3,0.046,zero,0.791,5,2.78,low
44,1.49,0.008,34,411.5,zero,0.27,7.399998,lake,0.209,48.312469,-92.187439,0.05,0,one,0.716,5,2.68,low
43,3.442,0.053,45,22.6,zero,0.231,13.5,lake,0.113,28.356384,-82.468872,0.016,0.017,zero,1.391,10,4.94,low
104.1,2.809,0.039,45,88.4,one,0.473,9.699997,pond,0.302,43.982483,-70.3172,0.026,0.019,one,0.945,20,2.943,low
11,0.87,0.004,10,516.6,zero,0.36,17.899994,lake,0.357,45.948608,-88.958313,0.01,0,zero,0.884,10,2.42,low
65.5,2.662,0.024,35,523.3,many,0.433,923,lake,19.701,44.039429,-74.611084,0.022,0.094,one,0.915,25,5.95,low
0,1.09,0.004,30,545.6,one,0.38,16.799988,lake,0.117,41.005249,-75.505554,0.01,0.647,one,0.708,20,1.83,low
70,3.01,0.014,35,333.756,zero,0.9,11.399994,pond,0.074,42.554138,-71.954163,0,0.005,one,0.999,25,5.55,low
65.1,2.532,0.039,30,336.8,one,0.292,48.199982,lake,0.626,41.5,-75.126343,0.035,0.005,one,0.834,20,4.756,low
17,1.88,0.022,15,262.7,zero,0.593,6.699997,lake,0.208,46.444153,-85.724426,0.03,0.053,zero,1.194,15,3.06,low
33,2.68,0.029,25,18.5928,one,1.67,35.699982,pond,1.06,42.027771,-70.827454,0.08,0.462,one,0.958,20,7.4,low
128.3,4.716,0.126,80,41.4528,one,1.867,8.599998,reservoir,0.048,41.540253,-71.524963,0.213,1.121,one,0.955,20,13.013,low
265,1.25,0.027,35,1103.4,few,0.58,18.099991,lake,0.563,35.062469,-83.220825,0.041,0.632,few,1.256,30,1.89,low
27.95,1.637,0.021,17.5,16.764,zero,0.463,39.199982,pond,0.764,41.399994,-71.666626,0.0275,0.036,zero,0.953,20,4.853,low
20,0.98,0.035,28,332.2,zero,0.19,6.399998,lake,0.101,46.549988,-91.274963,0,0,zero,0.867,15,0.79,low
37.4,1.446,0.033,20,149.4,zero,0.313,7.299999,pond,0.102,44.083313,-71,0.017,0.001,one,0.965,25,2.526,low
135,0.92,0.036,35,1042.4,one,0.48,6.699997,lake,0.152,35.101379,-83.079163,0.007,0.144,one,1.181,30,1.62,low
105.4,2.143,0.022,10,565.1,few,0.25,56.099976,lake,1.822,43.430542,-74.388306,0.077,0.368,one,0.886,25,5.829,low
58,0.71,0.047,20,731.5,many,0.48,212.199951,reservoir,55.827,35.240265,-83.061646,0.039,0.078,one,1.32,30,0.99,low
19,1.73,0.03,23,388.9,zero,1.19,11.699997,lake,0.776,45.783325,-91.771362,0.06,0.007,zero,0.862,5,3.88,low
36,1.36,0.015,28,450.5,zero,0.316,47.299988,lake,0.198,48.022217,-91.972168,0.05,0.022,one,0.787,5,2.75,low
146,2.06,0.016,105,585.2,one,0.26,10.899994,lake,0.339,48.016663,-90.611084,0.1,0.193,one,0.798,10,2.52,low
12.5,1.007,0.008,17.5,507.5,few,0.375,15,lake,0.299,46.158325,-89.520813,0.01,0.049,zero,0.885,10,2.32,low
